X,Y,best_k,max_corr,sharpness,n_samples
appeninn,4ig,18,0.2056151170551516,0.12530883858632677,103
4ig,raba,8,0.205362236554329,0.14553269621217976,103
cigpannonia,appeninn,19,0.20330125461498524,0.0,102
vertikal,4ig,5,0.20282681395067417,0.0,103
akko,esense,5,0.2007545872366219,0.0,101
dunahouse,autowallis,7,0.19802009669871043,0.16036218022259224,103
mtelekom,autowallis,12,0.19534004819494205,0.07054829912540864,103
esense,mol,10,0.1947613832147883,0.18725090683771017,101
dunahouse,appeninn,5,0.1940674168663716,0.0,103
pannergy,appeninn,5,0.1940674168663716,0.0,102
autowallis,richter,5,0.19152848529597613,0.0,103
akko,raba,7,0.19141689171744258,0.2704011245666917,103
pannergy,autowallis,13,0.19121869977088118,0.09304973347569212,102
granit,appeninn,13,0.19092727118616473,0.24996554845196198,103
gspark,masterplast,5,0.19072932262142026,0.0,102
any,4ig,9,0.1885008629107583,0.038047601815309195,103
opus,appeninn,19,0.1841936878045663,0.0,103
delta,esense,13,0.18380419864532005,0.16364034950644196,101
mol,esense,7,0.18331020496540312,0.16223265436199016,101
waberers,appeninn,6,0.18229638073283755,0.1545502124541119,103
4ig,autowallis,14,0.17997703893067923,0.01675339653120894,103
mol,appeninn,18,0.17787298226717344,0.14014028348630617,103
vertikal,masterplast,6,0.17782391691039867,0.04006713996034644,103
appeninn,masterplast,19,0.16905846788214524,0.0,103
bif,appeninn,15,0.16429817667722518,0.20742403446044178,100
mtelekom,appeninn,15,0.15840278868862248,0.266031207259692,103
bif,autowallis,14,0.15658570564976437,0.12159410522278116,100
masterplast,esense,8,0.1548879898278416,0.21166450000680426,101
waberers,masterplast,14,0.15173464760109642,0.06180815743926546,103
alteo,esense,5,0.14952671341280072,0.0,101
zwack,esense,6,0.14559787410290445,0.2256075252856345,101
4ig,masterplast,5,0.14252479984851443,0.0,103
cigpannonia,masterplast,5,0.14118653027982248,0.0,102
alteo,masterplast,14,0.14043250430107193,0.046346956616510754,103
esense,masterplast,15,0.13767440118064644,0.15435203548930526,101
delta,raba,14,0.13571389772471315,0.12257286177998564,103
alteo,4ig,17,0.1338347647220995,0.09442138196706576,103
opus,esense,9,0.1325403230195706,0.22408713036286151,101
any,esense,8,0.1310829954342308,0.13458874357139872,101
zwack,autowallis,9,0.12882209514927914,0.16433437152209993,103
waberers,4ig,19,0.12390429440648329,0.0,103
masterplast,autowallis,9,0.1216843927874081,0.12262824923390463,103
esense,4ig,18,0.11854516076589762,0.18297636090693836,101
mtelekom,masterplast,14,0.11427280672575535,0.1032649897016873,103
opus,autowallis,17,0.11307134681654986,0.1434418385319091,103
autowallis,masterplast,11,0.11115560447095861,0.10526608725336702,103
granit,autowallis,5,0.10467438262206033,0.0,103
akko,masterplast,14,0.1038442166501302,0.08269680711530467,103
alteo,autowallis,10,0.10012876232279336,0.08271488669556855,103
any,autowallis,13,0.09677025652039774,0.07967880092186166,103
pannergy,masterplast,11,0.08941578516418333,0.13548792667273016,102
delta,masterplast,16,0.08267012376340006,0.09025187254214498,103
mtelekom,4ig,11,0.07367628534255209,0.04274594828483057,103
pannergy,4ig,17,0.06822722360277172,0.03594347080811005,102
